animal_001|Żyrafa skubiąca liście akacji|Giraffe eating acacia leaves
animal_002|Słoń z długimi ciosami|Elephant with long tusks
animal_003|Tygrys czający się w trawie|Tiger lurking in the grass
animal_004|Lew ryczący o świcie|Lion roaring at dawn
animal_005|Zebra uciekająca przed drapieżnikiem|Zebra running from a predator
animal_006|Nosorożec z potężnym rogiem|Rhinoceros with a massive horn
animal_007|Hipopotam zanurzony w rzece|Hippopotamus submerged in a river
animal_008|Gepard pędzący po sawannie|Cheetah sprinting across the savanna
animal_009|Lampart śpiący na gałęzi|Leopard sleeping on a branch
animal_010|Pantera skradająca się nocą|Panther stalking at night
animal_011|Wilk wyjący do księżyca|Wolf howling at the moon
animal_012|Lis zakradający się do kurnika|Fox sneaking into a henhouse
animal_013|Niedźwiedź łowiący ryby|Bear catching fish
animal_014|Jeleń z wielkim porożem|Deer with huge antlers
animal_015|Łoś przechodzący przez bagno|Moose walking through a swamp
animal_016|Sarna uciekająca przez pole|Roe deer running across a field
animal_017|Dzik ryjący w ziemi|Wild boar rooting in the ground
animal_018|Zając skaczący przez łąkę|Hare jumping across a meadow
animal_019|Królik gryzący marchewkę|Rabbit nibbling a carrot
animal_020|Wiewiórka chowająca orzechy|Squirrel hiding nuts
animal_021|Bóbr budujący tamę|Beaver building a dam
animal_022|Wydra pływająca na plecach|Otter floating on its back
animal_023|Kuna na strychu nocą|Marten in the attic at night
animal_024|Łasica polująca w zbożu|Weasel hunting in grain
animal_025|Jeż zwinięty w kulkę|Hedgehog curled into a ball
animal_026|Kret kopiący pod trawnikiem|Mole digging under the lawn
animal_027|Nietoperz wiszący do góry nogami|Bat hanging upside down
animal_028|Małpa kradnąca banana|Monkey stealing a banana
animal_029|Goryl bijący się w pierś|Gorilla beating its chest
animal_030|Szympans używający patyka|Chimpanzee using a stick
animal_031|Orangutan bujający się na lianie|Orangutan swinging on a vine
animal_032|Panda jedząca bambus|Panda eating bamboo
animal_033|Koala śpiący na drzewie|Koala sleeping in a tree
animal_034|Kangur z młodym w torbie|Kangaroo with a joey in its pouch
animal_035|Wombat kopiący norę|Wombat digging a burrow
animal_036|Leniwiec wiszący na gałęzi|Sloth hanging from a branch
animal_037|Mrówkojad z długim językiem|Anteater with a long tongue
animal_038|Pancernik zwinięty w kulę|Armadillo rolled into a ball
animal_039|Szop pracz myjący jedzenie|Raccoon washing food
animal_040|Skunks unoszący ogon|Skunk raising its tail
animal_041|Pies aportujący patyk|Dog fetching a stick
animal_042|Kot polujący na mysz|Cat hunting a mouse
animal_043|Koń galopujący po łące|Horse galloping across a meadow
animal_044|Krowa przeżuwająca trawę|Cow chewing grass
animal_045|Byk szarżujący na czerwone płótno|Bull charging at a red cloth
animal_046|Owca w gęstej wełnie|Sheep with thick wool
animal_047|Koza stojąca na skale|Goat standing on a rock
animal_048|Świnia tarzająca się w błocie|Pig rolling in mud
animal_049|Osioł niosący worki|Donkey carrying sacks
animal_050|Wielbłąd idący przez pustynię|Camel walking through the desert
animal_051|Alpaka z puszystą grzywką|Alpaca with a fluffy forelock
animal_052|Lama plująca na turystę|Llama spitting at a tourist
animal_053|Kura znosząca jajko|Chicken laying an egg
animal_054|Kogut piejący o poranku|Rooster crowing at sunrise
animal_055|Kaczka pływająca po stawie|Duck swimming in a pond
animal_056|Gęś sycząca na ludzi|Goose hissing at people
animal_057|Indyk stroszący pióra|Turkey puffing up its feathers
animal_058|Gołąb siedzący na pomniku|Pigeon sitting on a monument
animal_059|Wróbel skaczący po chodniku|Sparrow hopping on the sidewalk
animal_060|Jaskółka lepiąca gniazdo|Swallow building a nest
animal_061|Kruk trzymający błyszczący przedmiot|Raven holding a shiny object
animal_062|Wrona rozbijająca orzech|Crow cracking a nut
