cybersecurity_001|Atak phishingowy|Phishing attack
cybersecurity_002|Silne hasło|Strong password
cybersecurity_003|Menedżer haseł|Password manager
cybersecurity_004|Uwierzytelnianie dwuskładnikowe|Two-factor authentication
cybersecurity_005|Wyciek danych|Data breach
cybersecurity_006|Architektura Zero Trust|Zero Trust architecture
cybersecurity_007|Zasada najmniejszych uprawnień|Principle of least privilege
cybersecurity_008|Segmentacja sieci|Network segmentation
cybersecurity_009|Mikrosegmentacja|Microsegmentation
cybersecurity_010|Eskalacja uprawnień|Privilege escalation
cybersecurity_011|Ruch boczny|Lateral movement
cybersecurity_012|Mechanizm persystencji|Persistence mechanism
cybersecurity_013|Eksfiltracja danych|Data exfiltration
cybersecurity_014|Ransomware|Ransomware
cybersecurity_015|Atak na łańcuch dostaw|Supply chain attack
cybersecurity_016|Podatność dnia zerowego|Zero-day vulnerability
cybersecurity_017|Zarządzanie poprawkami|Patch management
cybersecurity_018|Zagrożenie wewnętrzne|Insider threat
cybersecurity_019|Shadow IT|Shadow IT
cybersecurity_020|Jednokrotne logowanie|Single sign-on
cybersecurity_021|Federacja tożsamości|Identity federation
cybersecurity_022|Dostęp warunkowy|Conditional access
cybersecurity_023|Klucz bezpieczeństwa FIDO2|FIDO2 security key
cybersecurity_024|Uwierzytelnianie bezhasłowe|Passwordless authentication
cybersecurity_025|Atak pass-the-hash|Pass-the-hash attack
cybersecurity_026|Kerberoasting|Kerberoasting
cybersecurity_027|Centrum operacji bezpieczeństwa|Security Operations Center
cybersecurity_028|System SIEM|SIEM
cybersecurity_029|System EDR|EDR
cybersecurity_030|System DLP|DLP
cybersecurity_031|Zapora WAF|WAF
cybersecurity_032|Broker CASB|CASB
cybersecurity_033|Threat hunting|Threat hunting
cybersecurity_034|Informatyka śledcza|Digital forensics
cybersecurity_035|Plan reagowania na incydenty|Incident response plan
cybersecurity_036|Ćwiczenie sztabowe|Tabletop exercise
cybersecurity_037|Niezmienna kopia zapasowa|Immutable backup
cybersecurity_038|Skanowanie podatności|Vulnerability scanning
cybersecurity_039|Test penetracyjny|Penetration test
cybersecurity_040|Modelowanie zagrożeń|Threat modeling
cybersecurity_041|Sekrety w kodzie źródłowym|Secrets in source code
cybersecurity_042|Izolacja przeglądarki|Browser isolation
cybersecurity_043|Bezpieczny rozruch|Secure boot
cybersecurity_044|Łańcuch zaufania|Chain of trust
cybersecurity_045|Certyfikat klienta|Client certificate
cybersecurity_046|Atak BEC|Business email compromise
cybersecurity_047|Typosquatting|Typosquatting
cybersecurity_048|Deepfake głosowy|Voice deepfake
